occurrence_year,occurrence_date,division,age_bias,race_bias,religion_bias,sexual_orientation_bias,gender_bias,primary_offence,arrest_made,bias_type
2018,2018-03-06,D53,NO,Black,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Racial
2018,2018-03-06,D32,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2018,2018-03-09,D11,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-03-16,D52,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-03-22,D31,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-03-27,D13,NO,NA,Jewish,NA,NA,Mischief Interfere With Property,NO,Religious
2018,2018-03-28,D12,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-03-28,D31,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,YES,Religious
2018,2018-04-08,D22,NO,NA,NA,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Age
2018,2018-04-12,D51,NO,NA,NA,NA,Woman,Assault With a Weapon,YES,Gender
2018,2018-04-13,D51,NO,Black,NA,NA,NA,Criminal Harassment,NO,Racial
2018,2018-04-13,D52,NO,NA,NA,NA,Woman,Assault Causing Bodily Harm,YES,Gender
2018,2018-04-14,D52,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2018,2018-04-15,D51,NO,NA,NA,NA,Woman,Assault,YES,Gender
2018,2018-04-16,D52,NO,NA,NA,NA,Woman,Assault With a Weapon,YES,Gender
2018,2018-04-19,D31,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-04-20,D51,NO,Black,NA,NA,NA,Assault,NO,Racial
2018,2018-04-20,D41,NO,Black,"Jewish, Muslim",NA,NA,Mischief Interfere With Property,NO,Racial
2018,2018-04-22,D22,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2018,2018-04-25,D53,NO,NA,Muslim,NA,NA,Mischief Under $5000,YES,Religious
2018,2018-04-26,D55,NO,NA,Muslim,Lesbian,NA,Assault,NO,Religious
2018,2018-04-28,D13,NO,NA,NA,Gay,NA,Mischief Under $5000,NO,Sexual Orientation
2018,2018-05-05,D43,NO,NA,NA,NA,NA,Assault,NO,Age
2018,2018-05-14,D53,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-05-16,NSA,NO,NA,NA,NA,NA,Uttering Threats - Bodily Harm,NO,Age
2018,2018-05-17,D52,NO,NA,Muslim,NA,NA,Mischief Interfere With Property,NO,Religious
2018,2018-05-19,D33,NO,Black,NA,NA,NA,Assault With a Weapon,YES,Racial
2018,2018-05-21,D43,NO,NA,Muslim,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-05-24,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-05-29,D23,NO,NA,NA,Gay,NA,Uttering Threats - Bodily Harm,NO,Sexual Orientation
2018,2018-05-29,D13,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2018,2018-05-31,D55,NO,"Black, White",NA,2SLGBTQ+,NA,Mischief Under $5000,NO,Racial
2018,2018-05-31,D55,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-06-01,D53,NO,NA,Christian Orthodox,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2018,2018-06-06,D31,NO,NA,Muslim,NA,Woman,Assault,YES,Religious
2018,2018-06-06,D31,NO,NA,Muslim,NA,Woman,Assault,YES,Religious
2018,2018-06-06,D31,NO,NA,Muslim,NA,Woman,Assault,YES,Religious
2018,2018-06-07,D31,NO,NA,Muslim,NA,Woman,Assault,YES,Religious
2018,2018-06-12,D55,NO,NA,Muslim,NA,NA,Uttering Threats - Bodily Harm,YES,Religious
2018,2018-06-22,D32,NO,NA,NA,NA,NA,Uttering Threats - Property,YES,Age
2018,2018-06-23,D52,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-06-24,D52,NO,NA,NA,Gay,NA,Uttering Threats - Bodily Harm,NO,Sexual Orientation
2018,2018-06-26,D51,NO,NA,NA,2SLGBTQ+,NA,Arson,NO,Sexual Orientation
2018,2018-06-26,D31,NO,NA,NA,Gay,NA,Public Incitement of Hatred ,NO,Sexual Orientation
2018,2018-06-27,D55,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-06-29,D52,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-07-04,D51,NO,NA,Muslim,NA,NA,Assault,NO,Religious
2018,2018-07-10,D52,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-07-14,D32,NO,NA,NA,NA,NA,Assault,NO,Age
2018,2018-07-21,D32,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2018,2018-07-23,D52,NO,NA,Muslim,NA,NA,Assault,YES,Religious
2018,2018-07-23,D32,NO,NA,Jewish,NA,NA,Theft,NO,Religious
2018,2018-07-24,D55,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-07-26,D51,NO,NA,NA,NA,NA,Mischief Under $5000,NO,Age
2018,2018-07-29,D11,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-07-31,D14,NO,NA,"Christian Orthodox, Jewish",NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2018,2018-08-02,D51,NO,NA,Jewish,2SLGBTQ+,NA,Mischief Under $5000,NO,Religious
2018,2018-08-03,D22,NO,NA,Muslim,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-08-03,D13,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-08-08,D53,NO,NA,NA,2SLGBTQ+,NA,Assault With a Weapon,NO,Sexual Orientation
2018,2018-08-09,D42,NO,NA,Muslim,NA,NA,Assault,YES,Religious
2018,2018-08-11,D52,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-08-12,D12,NO,NA,NA,NA,Transgender Man (Identifies As Man),Assault,NO,Gender
2018,2018-08-14,D22,NO,NA,Muslim,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-08-14,D32,NO,NA,Jewish,NA,NA,Indecent Communications,YES,Religious
2018,2018-08-19,D14,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-08-20,D22,NO,Black,NA,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Racial
2018,2018-08-21,D32,NO,NA,NA,Gay,NA,Assault,NO,Sexual Orientation
2018,2018-08-22,D51,NO,Black,NA,2SLGBTQ+,NA,Mischief Under $5000,NO,Racial
2018,2018-08-25,D22,NO,NA,NA,NA,NA,Assault With a Weapon,NO,Age
2018,2018-08-27,D43,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-08-30,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-08-31,D53,NO,NA,NA,2SLGBTQ+,NA,Assault,NO,Sexual Orientation
2018,2018-09-04,D22,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-09-04,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-09-05,D12,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-09-15,D52,NO,NA,Muslim,NA,NA,Uttering Threats - Bodily Harm,YES,Religious
2018,2018-09-19,D31,NO,NA,Jewish,NA,NA,Mischief Interfere With Property,NO,Religious
2018,2018-09-20,D14,NO,NA,NA,2SLGBTQ+,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Sexual Orientation
2018,2018-09-21,D31,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-09-21,D22,NO,Black,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Racial
2018,2018-10-01,D31,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-10-02,D42,NO,NA,NA,NA,NA,Indecent Communications,NO,Age
2018,2018-10-04,D32,NO,NA,Jewish,NA,NA,Indecent Communications,NO,Religious
2018,2018-10-05,D13,NO,NA,NA,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Age
2018,2018-10-07,D13,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2018,2018-10-07,D22,NO,Black,NA,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Racial
2018,2018-10-08,NSA,NO,Black,NA,2SLGBTQ+,NA,Mischief Under $5000,NO,Racial
2018,2018-10-09,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-10-22,D53,NO,NA,Jewish,NA,NA,Mischief Under $5000,YES,Religious
2018,2018-10-25,D14,NO,Indigenous,NA,NA,NA,Assault,NO,Racial
2018,2018-10-26,D13,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-10-27,D11,NO,NA,Jewish,2SLGBTQ+,NA,Mischief Under $5000,NO,Religious
2018,2018-10-27,D13,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-10-29,D53,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-10-30,D33,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-10-30,D52,NO,NA,NA,NA,Woman,Criminal Harassment,YES,Gender
2018,2018-11-04,D51,NO,NA,NA,2SLGBTQ+,NA,Assault With a Weapon,YES,Sexual Orientation
2018,2018-11-04,D55,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-11-08,D42,NO,NA,Muslim,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2018,2018-11-10,D14,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-11-11,D13,NO,NA,Jewish,NA,NA,Robbery,NO,Religious
2018,2018-11-18,D55,NO,NA,Muslim,NA,NA,Assault,NO,Religious
2018,2018-11-19,D14,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-11-21,D31,NO,White,NA,NA,NA,Assault,NO,Racial
2018,2018-11-22,D53,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-11-26,D13,NO,NA,Jewish,NA,NA,Criminal Harassment,NO,Religious
2018,2018-12-05,D32,NO,NA,Muslim,NA,NA,Criminal Harassment,NO,Religious
2018,2018-12-06,D14,NO,NA,Jewish,NA,NA,Criminal Harassment,NO,Religious
2018,2018-12-08,D31,NO,NA,NA,2SLGBTQ+,NA,Mischief Under $5000,NO,Sexual Orientation
2019,2019-01-01,D41,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-01-12,D52,NO,NA,NA,NA,NA,Assault,NO,Age
2019,2019-01-16,D55,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-01-23,D31,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-01-25,D51,NO,NA,NA,NA,"Transgender, Transgender Woman (Identifies As Woman)",Assault,YES,Gender
2019,2019-01-26,NSA,NO,Black,NA,NA,NA,Uttering Threats - Bodily Harm,NO,Racial
2019,2019-01-27,D13,NO,NA,Jewish,NA,NA,Mischief Interfere With Property,NO,Religious
2019,2019-02-07,D14,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",YES,Religious
2019,2019-02-11,D14,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-02-22,D22,NO,NA,NA,NA,Transgender,Mischief Under $5000,NO,Gender
2019,2019-02-23,D53,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-02-26,D11,NO,Black,NA,NA,Transgender,Mischief Under $5000,NO,Racial
2019,2019-02-27,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-03-02,D41,NO,NA,NA,NA,NA,Assault,NO,Age
2019,2019-03-02,D12,NO,NA,NA,2SLGBTQ+,NA,Uttering Threats - Bodily Harm,NO,Sexual Orientation
2019,2019-03-09,D32,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-03-10,D51,NO,NA,NA,NA,Transgender Woman (Identifies As Woman),Uttering Threats - Bodily Harm,YES,Gender
2019,2019-03-14,D52,NO,NA,NA,Gay,NA,Assault,NO,Sexual Orientation
2019,2019-03-15,D14,NO,NA,NA,NA,Transgender,Wilful Promotion of Hatred,NO,Gender
2019,2019-03-16,D31,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-03-18,D32,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2019,2019-03-23,D33,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-03-25,D31,NO,Black,NA,NA,NA,Criminal Harassment,NO,Racial
2019,2019-04-06,D41,NO,NA,NA,Gay,NA,Mischief Under $5000,NO,Sexual Orientation
2019,2019-04-08,D42,NO,NA,Muslim,NA,NA,Criminal Harassment,NO,Religious
2019,2019-04-09,D41,NO,NA,Muslim,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2019,2019-04-10,D14,NO,NA,Muslim,NA,NA,Criminal Harassment,NO,Religious
2019,2019-04-10,D14,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-04-13,NSA,NO,NA,Muslim,NA,NA,Assault,NO,Religious
2019,2019-04-21,D55,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2019,2019-04-25,D51,NO,NA,Muslim,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-04-30,D32,NO,East/Southeast Asian,NA,NA,NA,Criminal Harassment,NO,Racial
2019,2019-05-05,D51,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-05-07,D51,NO,NA,NA,2SLGBTQ+,NA,Criminal Harassment,NO,Sexual Orientation
2019,2019-05-09,D31,NO,NA,"Jewish, Muslim",NA,NA,Mischief Under $5000,NO,Religious
2019,2019-05-10,D52,NO,NA,Sikh,NA,NA,Assault,NO,Religious
2019,2019-05-10,D55,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-05-12,D14,NO,NA,NA,NA,Transgender Woman (Identifies As Woman),Disturbing Religious Worship Or Certain Meetings,NO,Gender
2019,2019-05-15,D52,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-05-17,D22,NO,Black,NA,NA,NA,Uttering Threats - Bodily Harm,NO,Racial
2019,2019-05-17,D43,NO,Black,NA,NA,NA,Uttering Threats - Bodily Harm,YES,Racial
2019,2019-05-19,D22,NO,NA,Muslim,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-05-20,D32,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,YES,Religious
2019,2019-05-22,NSA,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-05-28,D51,NO,Black,NA,NA,NA,Assault,NO,Racial
2019,2019-05-29,D14,NO,NA,NA,2SLGBTQ+,NA,Criminal Harassment,NO,Sexual Orientation
2019,2019-05-31,D51,NO,NA,Muslim,2SLGBTQ+,Woman,Criminal Harassment,NO,Religious
2019,2019-05-31,D42,NO,NA,Muslim,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-06-01,D43,NO,NA,NA,2SLGBTQ+,Woman,Criminal Harassment,NO,Sexual Orientation
2019,2019-06-03,D14,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-06-03,D51,NO,NA,Jewish,NA,NA,Mischief Interfere With Property,NO,Religious
2019,2019-06-04,D51,NO,NA,NA,2SLGBTQ+,NA,Causing a Disturbance,YES,Sexual Orientation
2019,2019-06-07,D33,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-06-08,D22,NO,Black,NA,NA,NA,Assault,NO,Racial
2019,2019-06-11,D31,NO,NA,NA,2SLGBTQ+,NA,Assault,YES,Sexual Orientation
2019,2019-06-15,D55,NO,NA,NA,2SLGBTQ+,NA,Mischief Interfere With Property,NO,Sexual Orientation
2019,2019-06-17,D51,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-06-17,D32,NO,NA,NA,NA,NA,Assault,NO,Age
2019,2019-06-19,D51,NO,NA,NA,NA,"Transgender, Transgender Woman (Identifies As Woman)",Assault,NO,Gender
2019,2019-06-19,D22,NO,NA,NA,NA,NA,Assault,NO,Age
2019,2019-06-20,D32,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2019,2019-06-23,D41,NO,NA,NA,NA,NA,Mischief Under $5000,NO,Age
2019,2019-06-24,D32,NO,NA,Jewish,NA,NA,Criminal Harassment,NO,Religious
2019,2019-06-26,D51,NO,Black,NA,NA,NA,Assault,YES,Racial
2019,2019-06-27,D55,NO,White,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-06-30,D22,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-07-02,NSA,NO,NA,NA,NA,NA,Assault,NO,Age
2019,2019-07-04,D55,NO,NA,NA,2SLGBTQ+,NA,Mischief Under $5000,YES,Sexual Orientation
2019,2019-07-08,D52,NO,White,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-07-08,D31,NO,NA,NA,2SLGBTQ+,NA,Mischief Under $5000,NO,Sexual Orientation
2019,2019-07-09,D51,NO,NA,NA,NA,NA,Uttering Threats - Bodily Harm,YES,Age
2019,2019-07-12,D14,NO,NA,NA,Gay,NA,Uttering Threats - Bodily Harm,YES,Sexual Orientation
2019,2019-07-15,D43,NO,NA,Muslim,NA,NA,Mischief Interfere With Property,NO,Religious
2019,2019-07-16,D51,NO,Middle Eastern,NA,NA,NA,Assault,YES,Racial
2019,2019-07-18,D11,NO,NA,Catholic,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2019,2019-07-19,D23,NO,Black,NA,NA,NA,Uttering Threats - Bodily Harm,NO,Racial
2019,2019-07-20,D31,NO,NA,Muslim,NA,NA,Assault,YES,Religious
2019,2019-07-22,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-07-24,D53,NO,NA,Jewish,NA,NA,Mischief Interfere With Property,NO,Religious
2019,2019-07-25,D51,NO,"Black, East/Southeast Asian",NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-07-26,NSA,NO,NA,Sikh,NA,NA,Uttering Threats - Bodily Harm,YES,Religious
2019,2019-07-28,D14,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-07-28,D13,NO,NA,Jewish,NA,NA,Uttering Threats - Property,NO,Religious
2019,2019-08-06,D42,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-08-11,D51,NO,White,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-08-12,D52,NO,Other race not mentioned,NA,NA,NA,Assault,YES,Racial
2019,2019-08-15,D55,NO,NA,NA,Gay,NA,Mischief Under $5000,NO,Sexual Orientation
2019,2019-08-16,D51,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-08-16,NSA,NO,NA,NA,2SLGBTQ+,NA,Mischief Under $5000,YES,Sexual Orientation
2019,2019-08-18,D55,NO,NA,NA,Gay,NA,Mischief Under $5000,NO,Sexual Orientation
2019,2019-08-20,D55,NO,NA,NA,2SLGBTQ+,NA,Mischief Under $5000,YES,Sexual Orientation
2019,2019-08-21,D41,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-08-22,D41,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-08-22,D43,NO,NA,Muslim,NA,NA,Uttering Threats - Property,NO,Religious
2019,2019-08-23,D52,NO,Black,NA,Gay,NA,Assault,NO,Racial
2019,2019-08-23,NSA,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-08-25,D52,NO,NA,Sikh,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-08-26,D52,NO,NA,Muslim,NA,NA,Wilful Promotion of Hatred,NO,Religious
2019,2019-08-30,D31,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-08-31,D22,NO,NA,Muslim,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-09-01,D52,NO,NA,Muslim,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-09-02,NSA,NO,NA,NA,Gay,NA,Assault,NO,Sexual Orientation
2019,2019-09-03,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-09-03,D32,NO,NA,NA,NA,NA,Assault With a Weapon,NO,Age
2019,2019-09-05,D13,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2019,2019-09-05,D43,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-09-07,D55,NO,Black,NA,2SLGBTQ+,NA,Mischief Under $5000,NO,Racial
2019,2019-09-10,D32,NO,NA,Muslim,NA,NA,Assault,NO,Religious
2019,2019-09-10,D32,NO,NA,Muslim,NA,NA,Advocating Genocide,NO,Religious
2019,2019-09-11,D55,NO,NA,NA,NA,NA,Mischief Under $5000,NO,Age
2019,2019-09-11,NSA,NO,NA,NA,NA,NA,Mischief Under $5000,NO,Age
2019,2019-09-17,D23,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,YES,Religious
2019,2019-09-21,D13,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-09-25,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-09-25,D11,NO,NA,NA,NA,Transgender Man (Identifies As Man),Firearms Related Offence,NO,Gender
2019,2019-09-25,D53,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-09-30,D14,NO,East/Southeast Asian,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-10-06,D14,NO,NA,Muslim,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-10-07,D43,NO,NA,Jewish,Gay,NA,Mischief Under $5000,NO,Religious
2019,2019-10-14,D41,NO,NA,NA,2SLGBTQ+,Transgender,Uttering Threats - Bodily Harm,NO,Sexual Orientation
2019,2019-10-16,D14,NO,NA,Jewish,NA,NA,"Mischief To Religious Property, Educational Institutions, Etc.",NO,Religious
2019,2019-10-22,D41,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-11-06,D51,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-11-07,D52,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,YES,Religious
2019,2019-11-11,D51,NO,East/Southeast Asian,NA,NA,NA,Mischief Under $5000,YES,Racial
2019,2019-11-13,D52,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2019,2019-11-13,D51,NO,Black,NA,"Lesbian, 2SLGBTQ+",NA,Assault,NO,Racial
2019,2019-11-17,D53,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-11-20,D31,NO,NA,Jewish,NA,NA,Public Incitement of Hatred ,NO,Religious
2019,2019-11-22,D51,NO,NA,NA,NA,NA,Assault,NO,Age
2019,2019-11-24,D52,NO,NA,NA,NA,NA,Uttering Threats - Bodily Harm,NO,Age
2019,2019-12-03,D41,NO,NA,NA,NA,Woman,Mischief Under $5000,YES,Gender
2019,2019-12-06,D22,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2019,2019-12-11,D55,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2019,2019-12-30,D12,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2020,2020-01-01,D13,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2020,2020-01-05,D52,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2020,2020-01-08,D14,NO,NA,NA,NA,Woman,Assault With a Weapon,YES,Gender
2020,2020-01-09,D53,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2020,2020-01-09,D51,NO,NA,NA,NA,NA,Assault,NO,Age
2020,2020-01-10,D32,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2020,2020-01-14,D51,NO,NA,NA,Gay,NA,Assault,NO,Sexual Orientation
2020,2020-01-17,D53,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2020,2020-01-18,D22,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2020,2020-01-19,D13,NO,NA,Jewish,NA,NA,Mischief Interfere With Property,NO,Religious
2020,2020-01-20,D22,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2020,2020-01-20,D52,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2020,2020-01-20,D33,NO,Black,NA,NA,NA,Assault,NO,Racial
2020,2020-01-27,D32,NO,NA,Jewish,NA,NA,Public Incitement of Hatred ,NO,Religious
2020,2020-01-30,D22,NO,White,NA,NA,NA,Mischief Interfere With Property,NO,Racial
